str(conv.column_name),data_type,example_value,non_null_pct
cus_home_phone_num,StringType(),"[""K9F5TP/mGXdS4ZswPRL1JA=="",""ytZl9FDFkOGcmyc02vp+1Q=="",""YRulz1q8ZWgmouN6zS0Low=="",""LRoWCY82Kv5/fsJ3Dy8a5w=="",""kqHYNRFobwQzQPm96VJVXQ==""]",6.288657039758502
cus_identity_num,StringType(),"[""FxQlUOei7vcr+ZX9ISRVkA=="",""ijLLQBgGLYyh1RUqVSQ9SQ=="",""+QcSbibyITVPIF9B/j7ePw=="",""E7cgzf6KP1APvVRGY1yETg=="",""8PZo8AHkGhOWfwjUjDF+ow==""]",61.0850660272698
cus_is_current_unified_customer_flag,StringType(),"[""N"",""Y""]",100
cus_language_code,StringType(),"[""M"",""C"",""1"",""E""]",78.53452173514192
cus_last_name,StringType(),"[""elRWrjpE5I03PCfzkPe+9A=="",""2sYV27Lz/VT2PoF+0D3oPA=="",""+QcSbibyITVPIF9B/j7ePw=="",""fJTm35sJ16MMf1Pq1maSEw=="",""827JJDUHNN94wqZlyr1Kkg==""]",99.97787245968024
cus_local_first_name,StringType(),"[""cafYjbDlkmRGsEj8cyWywA=="",""INW/y6kK89sVrpXuCq0uMA=="",""L/J0hwMjSrIaxniikLLAVw=="",""d5Jd47SZ/B1Gsoof6CVtDg=="",""nXSKsVv7A3SM42Vg0CZ8ow==""]",35.36928546190358
cus_local_last_name,StringType(),"[""PEbgrXKIctI9mBaatOnztg=="",""s0XkzDGdeOZS4hdVKdMrrQ=="",""VWBc/YsTnt4ovmNm+2sRaw=="",""stNvZ+I1ri8DH7jmIUA1Ig=="",""k4IabMhaMCHSc+uDv9Vw+Q==""]",37.26237466310946
cus_mobile_phone_area_code,StringType(),"[""66"",""962"",""880"",""76"",""371""]",25.998549360796346
cus_mobile_phone_country_code,StringType(),"[""PA"",""VN"",""BE"",""EE"",""HT""]",36.455551114366116
cus_mobile_phone_num,StringType(),"[""sBpwdYwKr/WrYPXzwWqqQw=="",""G2Rf0m0lU1Sed1/Wvn4WQw=="",""KPex44Rwg+Hv/V4IKTP+pA=="",""bWNWa/Y6MGoYvWcQ1y7kDg=="",""Nyve+0YQsXQEhGLo9qBS4w==""]",30.77043659804441
cus_monthly_income_range,StringType(),"[""F"",""C"",""1"",""E"",""I""]",26.847006960346338
cus_nationality_code,StringType(),"[""GA"",""NA"",""VN"",""BE"",""UA""]",26.087462757434277
cus_occupation_class_code,StringType(),"[""3"",""1"",""95"",""2"",""5""]",7.915409286409507
cus_occupation_industry_code,StringType(),"[""100209"",""100259"",""100600"",""100843"",""100620""]",43.43696650071852
